country_name,iso3c,volatility,mean_democracy,n_years,total_decline,avg_decline,n_declines,had_backsliding,n_episodes
Tanzania,TZA,0.02637188748033334,0.37454166666666666,24,0.11499999999999999,0.0115,10,FALSE,0
Thailand,THA,0.11755645421471435,0.2677083333333333,24,0.552,0.05018181818181818,11,TRUE,0
The Gambia,GMB,0.15211965518220724,0.20929166666666668,24,0.036999999999999963,0.004111111111111107,9,FALSE,0
Timor-Leste,TLS,0.08289958129996886,0.45308333333333334,24,0.08900000000000002,0.011125000000000003,8,FALSE,0
Togo,TGO,0.033938136387392806,0.21566666666666667,24,0.13299999999999998,0.022166666666666664,6,FALSE,0
Trinidad and Tobago,TTO,0.011447105830036611,0.6379166666666667,24,0.10000000000000009,0.01111111111111112,9,FALSE,0
Tunisia,TUN,0.2519769945790715,0.33066666666666666,24,0.461,0.057625,8,TRUE,0
Turkmenistan,TKM,0.007211102550927979,0.023500000000000004,24,0.0070000000000000045,0.0017500000000000011,4,FALSE,0
Türkiye,TUR,0.15805747899630268,0.3109166666666667,24,0.41100000000000003,0.0274,15,TRUE,0
Uganda,UGA,0.017699944730938034,0.239625,24,0.08500000000000002,0.006071428571428572,14,FALSE,0
Ukraine,UKR,0.05871373379569625,0.27920833333333334,24,0.277,0.034625,8,TRUE,0
United Arab Emirates,ARE,0.008500213126057827,0.08091666666666666,24,0.02299999999999998,0.003285714285714283,7,FALSE,0
United Kingdom,GBR,0.011480291871258135,0.7963333333333333,24,0.07500000000000007,0.010714285714285723,7,FALSE,0
United States of America,USA,0.044034057142237036,0.8009583333333333,24,0.17500000000000004,0.01944444444444445,9,TRUE,0
Uruguay,URY,0.026657244712313625,0.819,24,0.131,0.011909090909090909,11,FALSE,0
Uzbekistan,UZB,0.019235195700153106,0.04658333333333334,24,0.01200000000000001,0.002400000000000002,5,FALSE,0
Vanuatu,VUT,0.06922694248063677,0.59675,24,0.020000000000000018,0.0050000000000000044,4,FALSE,0
Venezuela,VEN,0.07467320105982962,0.1435,24,0.268,0.013399999999999999,20,FALSE,0
Vietnam,VNM,0.009398966949093125,0.10908333333333334,24,0.017999999999999988,0.004499999999999997,4,FALSE,0
Yemen,YEM,0.05294699290772814,0.10608333333333334,24,0.14900000000000002,0.0149,10,FALSE,0
Zambia,ZMB,0.04822591762149044,0.384,24,0.15100000000000002,0.01677777777777778,9,FALSE,0
Zanzibar,NA,0.013036112050427625,0.231125,24,0.05600000000000002,0.011200000000000005,5,FALSE,0
Zimbabwe,ZWE,0.023159771156036926,0.182125,24,0.099,0.007071428571428571,14,FALSE,0
